Ob,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
1,7/12/2017,7/13/2017,H-1B,12/1/2017,11/30/2020,8SIANMEDIA CORPORATION,,25 E FOOTHILL BLVD,ARCADIA,CA,91006,,,,NA,,",",,,MARKETING MANAGER,11-Nov,ADVERTISING AND PROMOTIONS MANAGERS,519130,1,0,0,1,0,0,0,N,37.18,Hour,,OES,2017,FLC DATA CENTER ONLINE WAGE LIBRARY,37.1,0,Hour,N,N,,Y,NA,ARCADIA,LOS ANGELES,CA,91006,
2,2/10/2017,2/14/2017,H-1B,2/27/2017,2/26/2020,"COROS WEARABLES, INC.",,3310 NOBLE POND WAY,WOODBRIDGE,VA,22193,UNITED STATES OF AMERICA,,5712852809,NA,Y,"HAN, SANG JUN",FAIRFAX,VA,FINANCIAL ANALYST,13-2051,FINANCIAL ANALYSTS,424990,1,0,0,0,0,1,0,N,28.48,Hour,Level I,OES,2016,OFLC ONLINE DATA CENTER,29,0,Hour,N,N,,Y,NA,WOODBRIDGE,PRINCE WILLIAM,VA,22193,
3,3/16/2017,3/21/2017,H-1B,6/1/2017,5/31/2020,"RELIANT MEDICAL GROUP, INC.",,100 FRONT STREET,WORCESTER,MA,1608,UNITED STATES OF AMERICA,,5083685411,NA,Y,"CRONIN, MADELINE",BOSTON,MA,BUSINESS ANALYST,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",522320,1,1,0,0,0,0,0,Y,63398,Year,Level I,Other,2016,OFLC ONLINE DATA CENTER,54184,0,Year,N,N,,,NA,WORCESTER,WORCESTER,MA,1608,
4,3/25/2017,3/28/2017,H-1B,3/27/2017,3/26/2020,MYTHRI CONSULTING LLC,,1721 W PLANO PARKWAY,PLANO,TX,75075,UNITED STATES OF AMERICA,,5103943994,NA,N,",",,,UI DEVELOPER,15-1131,COMPUTER PROGRAMMERS,541511,1,0,0,0,0,0,1,Y,68827,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,67000,0,Year,Y,N,Y,Y,NA,PLANO,COLLIN,TX,75075,
5,1/11/2017,1/12/2017,E-3 Australian,3/1/2017,3/1/2019,MARYAM NASSIR ZADEH CORPORATION,MARYAM NASSIR ZADEH,123 NORFOLK ST,NEW YORK,NY,10002,UNITED STATES OF AMERICA,NEW YORK,2122262647,NA,N,",",,,PRODUCTION AND OPERATIONS MANAGER,11-1021,GENERAL AND OPERATIONS MANAGERS,448190,1,0,0,1,0,0,0,Y,56493,Year,Level I,OES,2015,,57000,0,Year,,,,,NA,NEW YORK,NEW YORK,NY,10002,
6,8/21/2017,8/22/2017,H-1B,9/11/2017,9/30/2019,"CHILDREN'S LEARNING ADVENTURE EE, LLC",,14631 N. SCOTTSDALE ROAD,SCOTTSDALE,AZ,85254,,,,NA,,",",,,REGIONAL MANAGER,11-1021,GENERAL AND OPERATIONS MANAGERS,624410,1,1,0,0,0,0,0,Y,74069,Year,,OES,2017,,85000,0,Year,N,N,,Y,NA,KATY,FORT BEND,TX,77494,
7,3/2/2017,3/8/2017,H-1B,8/31/2017,8/30/2020,PROFESSIONAL MEDICAL EQUIPMENT INC,,32304 SHORT HILL,BULVERDE,TX,78163,UNITED STATES OF AMERICA,,8304388069,NA,Y,"TAMEZ, JONATHAN",PORTLAND,OR,MANAGER,11-1021,GENERAL AND OPERATIONS MANAGERS,42345,1,1,0,0,0,0,0,Y,53165,Year,,OES,2017,OFLC ONLINE DATA CENTER,53165,0,Year,N,N,,,NA,BULVERDE,COMAL,TX,78163,
8,11/28/2016,11/30/2016,H-1B,1/3/2017,1/2/2020,"LEXISNEXIS RISK DATA MANAGEMENT, INC.",,1100 ALDERMAN DRIVE,ALPHARETTA,GA,30005,UNITED STATES OF AMERICA,,6786946873,NA,Y,"SHERMAN, KYLE",ATLANTA,GA,SENIOR SOFTWARE ENGINEER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",516110,1,0,0,0,0,1,0,Y,101300,Year,,OES,2016,2016 TOWERS WATSON INFORMATION TECHNOLOGY COMPENSATION SURVEY,101300,129000,Year,N,N,,,NA,ALPHARETTA,FULTON,GA,30005,
9,3/29/2017,3/30/2017,H-1B,10/1/2017,9/30/2020,BUSINESS ASSOCIATION OF OVERSEAS VIETNAMESE -- US BRANCH,,1616 ANDERSON ROAD,MCLEAN,VA,22102,UNITED STATES OF AMERICA,,7032614863,NA,Y,"CHAN, SHU-PING",ROCKVILLE,MD,LEGAL ASSISTANT,23-2011,PARALEGALS AND LEGAL ASSISTANTS,813910,1,1,0,0,0,0,0,Y,33.44,Hour,,OES,2015,,32,35,Hour,N,N,,Y,NA,MCLEAN,FAIRFAX,VA,22102,
10,3/13/2017,3/15/2017,H-1B,9/9/2017,9/8/2020,"BRAVOSOLUTION US, INC.",,101 LINDENWOOD DRIVE,MALVERN,PA,19355,UNITED STATES OF AMERICA,,6102400600,NA,Y,"MOORE, KATHRYN",MCLEAN,VA,ADOPTION SERVICES ANALYST,15-2031,OPERATIONS RESEARCH ANALYSTS,423850,1,1,0,0,0,0,0,Y,47154,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,31000,50000,Year,N,N,,Y,NA,MALVERN,CHESTER,PA,19355,
