Ob,CASE_STATUS,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
1,DENIED,5/25/2017,5/25/2017,H-1B,9/21/2017,9/20/2020,VERTISYSTEM INC,,39300 CIVIC CENTER DRIVE,FREMONT,CA,94538,UNITED STATES OF AMERICA,,5107948099,,Y,"RAI, HARDEEP",FREMONT,CA,SOFTWARE DEVELOPER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,1,0,0,1,0,0,0,Y,122533,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,122600,0,Year,Y,N,Y,Y,NA,SUNNYVALE,SANTA CLARA,CA,94085,
2,DENIED,11/4/2014,8/16/2017,H-1B,12/8/2014,12/7/2017,GOOGLE INC.,,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,,,,,,",",,,TEST ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,1,0,0,0,0,0,Y,109762,Year,,OES,2014,OFLC ONLINE DATA CENTER,116000,0,Year,N,N,,,NA,MOUNTAIN VIEW,SANTA CLARA,CA,94043,
3,DENIED,10/6/2016,10/13/2016,H-1B,11/11/2016,11/10/2019,"KIMBERLY-CLARK WORLDWIDE, INC.",,2001 MARATHON AVE.,NEENAH,WI,54956,UNITED STATES OF AMERICA,,9207215200,,Y,"SHERMAN, KYLE",ATLANTA,GA,LEAD SCIENTIST - MATERIALS,19-2032,MATERIALS SCIENTISTS,322121,1,0,0,0,0,1,0,Y,94016,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,80267,110000,Year,N,N,,,NA,NEENAH,WINNEBAGO,WI,54956,
4,DENIED,8/14/2017,8/14/2017,H-1B,8/14/2017,8/14/2020,"EMBTEL, INC.",,39159 PASEO PADRE PARKWAY,FREMONT,CA,94538,,,,,,",",,,TECHNICAL ANALYST,13-1111,MANAGEMENT ANALYSTS,541511,1,0,0,0,0,1,0,Y,56118,Year,,Other,2017,OFLC ONLINE DATA CENTER,56118,0,Year,Y,N,Y,Y,NA,CHARLOTTE,MECKLENBURG,NC,28202,
5,DENIED,4/20/2017,4/20/2017,H-1B,10/16/2017,10/15/2020,"SPACE TIME INSIGHT, INC.",,1850 GATEWAY DR.,SAN MATEO,CA,94404,UNITED STATES OF AMERICA,,6505138550,,Y,"GRZEGOREK, KATHLEEN",LOS ANGELES,CA,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,1,0,0,0,0,Y,95805,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,95805,110056.73,Year,N,N,,,NA,MEMPHIS,SHELBY,TN,38125,
6,DENIED,7/26/2017,7/28/2017,H-1B,8/7/2017,8/6/2020,"VERITIS GROUP, INC.",,1231 GREENWAY DR.,IRVING,TX,75038,,,,,,",",,,DEVOPS ENGINEER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",541511,1,0,0,0,0,0,1,Y,76586,Year,,OES,2017,OFLC ONLINE DATA CENTER,76586,0,Year,Y,N,Y,,NA,IRVING,DALLAS,TX,75038,
7,DENIED,3/10/2017,3/10/2017,H-1B,9/6/2017,9/6/2020,MAXOTECH SOLUTIONS LLC,,1920 MCKINNEY AVE,DALLAS,TX,75201,UNITED STATES OF AMERICA,,2162125823,,N,",",,,PROGRAMMER ANALYST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",54169,1,1,0,0,0,0,0,Y,68827,Year,Level I,OES,2017,OFLC ONLINE DATA CENTER,68827,75000,Year,N,N,Y,,NA,DALLAS,DALLAS,TX,75201,
8,DENIED,12/5/2016,12/6/2016,H-1B,12/16/2016,12/15/2019,FOX ROTHSCHILD LLP,,2000 MARKET STREET,PHILADELPHIA,PA,19103-3222,UNITED STATES OF AMERICA,,2152992000,,Y,"BAHAL, ALKA",ROSELAND,NJ,ATTORNEY (ASSOCIATE),23-1011,LAWYERS,541110,1,0,1,0,0,0,0,Y,121541,Year,Level III,OES,2016,OFLC ONLINE DATA CENTER,121451,0,Year,N,N,,,NA,LAS VEGAS,CLARK,NV,89135,
9,DENIED,11/21/2016,11/28/2016,H-1B,2/26/2017,2/26/2020,JPMORGAN CHASE & CO.,,10 S. DEARBORN STREET,CHICAGO,IL,60603,UNITED STATES OF AMERICA,,3127325466,,Y,"NIEVES, JENNY",NEW YORK,NY,APPLICATIONS DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",551112,1,0,0,0,0,1,0,Y,77210,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,119000,0,Year,N,N,,,NA,COLUMBUS,DELAWARE,OH,43240,
10,DENIED,3/2/2017,3/2/2017,H-1B,9/1/2017,9/1/2020,AKUNA CAPITAL LLC,AKUNA CAPITAL LLC,333 S WABASH AVENUE,CHICAGO,IL,60604,UNITED STATES OF AMERICA,,3129944640,,Y,"BARBUS, HEATHER",CHICAGO,IL,QUANTITATIVE DEVELOPER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",523130,1,1,0,0,0,0,0,Y,91541,Year,Level III,Other,2016,OFLC ONLINE DATA CENTER,1.00E+05,150000,Year,N,N,,,NA,CHICAGO,COOK,IL,60604,
